AGEP,PINCP,SEX,ESR,PUMA
43.49509,24147.697,2,1,1702
32.59304,10689.177,2,1,3204
63.952568,0.0,1,6,1500
50.382217,73732.734,2,1,2905
65.03434,44072.418,1,6,2902
34.994667,119958.11,1,1,3003
73.82239,13229.665,1,1,3202
64.9533,8851.416,2,1,1200
73.86122,70596.44,1,1,300
51.276173,0.018193692,2,6,2400
47.07941,103407.26,1,1,2908
25.824429,13209.052,1,1,3005
44.883854,32538.133,1,1,2906
60.099174,34051.848,1,1,3100
30.939878,46396.85,2,1,2901
48.39818,12965.845,2,1,2701
84.91506,13552.621,2,6,1802
45.69659,91319.94,1,1,1702
52.13465,40425.574,2,1,3005
71.493164,102676.04,1,1,3005
44.309105,66578.34,1,1,1600
60.166435,174200.9,2,1,801
51.31255,62156.332,1,1,3003
20.934155,10716.504,2,1,2902
40.62019,10410.385,2,1,3211
83.51442,40802.64,1,6,2703
67.36671,49941.676,2,1,2702
74.51698,61996.43,2,6,1704
21.621672,8297.543,2,1,1400
63.491318,15829.956,1,6,3006
22.412703,4965.48,2,1,3211
56.357,463.1197,2,6,3003
57.381626,3025.3452,2,1,2102
15.810909,0.0048219217,1,6,2905
48.073795,0.0061029904,1,6,2904
59.896927,50213.902,1,1,600
72.25314,6820.2817,1,6,2200
69.17028,0.02285359,1,6,1500
54.65677,26560.49,1,1,400
62.09652,81900.805,2,1,400
74.41759,0.022952119,2,6,1002
48.901688,42746.13,1,1,1600
71.70761,5546.6836,1,6,300
87.50784,0.009831763,1,6,3205
28.204935,53032.004,2,1,2907
81.4734,15995.76,1,6,1600
70.6327,20416.771,1,6,1200
78.384514,27034.045,2,6,2800
29.220154,26645.865,1,1,3207
44.465523,17636.447,2,1,1701
65.01999,18542.81,1,6,1100
87.92174,57379.043,2,6,2903
20.450977,2817.511,2,1,1600
79.59112,17915.99,2,6,1004
49.38849,73405.99,2,1,3203
51.272266,14366.601,2,1,3208
56.210133,15838.761,1,1,2300
33.437355,64963.816,1,1,1900
83.25857,47828.7,2,1,1801
56.844078,8627.896,2,1,2101
16.528046,0.0,1,6,2905
37.551125,97343.04,1,1,2902
76.23023,27589.7,2,6,2101
48.757496,17940.168,2,1,300
16.781658,0.03020075,2,6,3003
59.49432,7621.9746,1,6,2904
83.697266,24541.555,1,6,2200
65.74322,27948.654,2,6,300
70.69541,29297.139,2,6,2906
80.44475,108588.836,1,6,2000
45.43343,0.042323556,2,6,1900
32.433098,25391.91,1,1,2903
61.13678,0.0,1,6,2908
42.319607,34877.746,2,6,2908
45.79319,20305.328,2,6,2200
32.79847,6918.4434,1,3,2904
73.0803,47304.434,1,6,802
42.954926,23228.555,1,1,2500
77.92708,39971.55,1,6,3211
85.42255,40045.035,1,6,1100
69.791336,36328.01,2,2,3300
21.281061,18031.355,1,1,600
58.2161,148319.42,1,1,1801
30.483608,60473.402,2,1,100
40.56998,78330.445,1,1,2703
72.90892,43269.656,1,6,1600
19.744072,23357.0,2,1,801
59.0418,25557.361,2,1,400
41.393997,51488.125,2,1,700
56.477425,15932.543,2,6,2907
41.041157,124513.77,1,1,2901
39.5436,0.04319768,1,6,3210
73.910446,55912.305,2,3,3001
68.384926,3875.133,1,6,1704
33.80284,17427.84,1,6,600
33.439598,0.0,1,6,2500
23.504702,0.12569065,2,3,3203
29.42119,13657.413,2,1,2800
39.8264,22405.172,1,1,1600
43.44893,45106.1,1,1,1900
34.44584,67280.15,1,1,2905
73.88716,15048.58,2,6,1300
65.02736,30102.594,1,6,100
19.298012,7558.5054,2,1,2500
40.4505,13632.687,2,1,3202
58.668068,62635.715,1,1,2908
38.052734,133956.75,1,1,200
58.227753,29574.076,2,1,3006
43.28088,66271.1,1,1,2703
36.75348,28662.916,2,1,900
66.949036,66470.62,1,1,3203
65.768814,32262.164,2,1,3209
54.266647,65566.82,2,1,1704
44.93813,111243.195,1,1,1400
44.6541,41000.76,2,1,1600
27.302914,12515.882,1,1,2500
51.16226,0.008242056,2,6,2800
61.992737,27729.8,1,3,1600
29.134176,10499.21,2,1,3204
55.22487,54285.09,1,1,3300
77.572296,53947.047,2,1,200
55.704258,64317.27,1,6,2800
58.304134,52263.16,1,1,2907
31.82436,59687.113,1,1,3100
67.53815,47626.83,2,1,1400
43.485996,21959.229,1,6,1802
16.735943,0.0,2,6,3100
48.999886,8417.228,2,1,2905
61.526375,7240.48,2,6,400
59.19756,13484.97,1,6,2600
57.578423,37523.566,2,1,2300
61.984386,358968.84,2,6,1900
23.73005,12119.641,2,3,1702
66.51758,63005.426,2,6,3001
34.357414,0.0,1,6,1801
66.71076,104942.984,1,1,3213
20.96821,2561.9119,2,1,1801
18.877235,17775.236,2,1,3003
58.12528,71128.98,1,1,2905
63.38378,66679.63,1,1,300
72.146614,28423.8,1,6,400
22.66605,17359.742,1,1,1500
56.766373,17779.73,1,6,1400
65.50446,9461.675,2,6,1200
51.902954,15172.518,1,1,1100
40.467625,40716.617,1,1,2902
73.10393,47935.28,1,1,1500
41.47221,50812.94,2,1,3207
18.192974,1993.8009,1,1,100
20.967022,8158.0703,2,1,2102
88.787125,30669.705,1,6,2702
27.656942,79498.375,1,1,1701
63.33718,44329.516,2,1,2101
25.325047,12964.954,2,6,1701
27.254213,57349.227,2,1,1802
23.240652,15204.923,1,1,500
17.760372,4859.295,1,1,2400
18.345425,513.93787,1,1,2200
28.231714,18410.56,1,6,2908
39.48398,14617.123,2,6,3002
61.6749,87205.38,1,6,3002
37.599564,0.0,2,6,1100
64.2294,40652.363,1,1,2906
27.836363,42913.027,2,1,3201
45.486595,0.02402873,2,6,3205
76.405464,56723.742,2,6,2906
62.364517,2478.3862,2,6,1300
35.766724,83463.62,1,1,1100
30.102398,18991.275,2,6,200
83.27565,15824.266,2,6,600
77.4949,271039.9,1,6,2702
26.262005,31604.633,2,1,400
60.149117,51395.84,1,6,2600
78.75073,16610.979,1,6,3202
55.61328,0.0,1,3,2703
66.42328,46389.023,1,6,3006
30.522476,0.042810746,1,6,200
59.77761,17959.975,1,6,400
47.696472,61390.42,1,1,1801
50.478645,9760.06,1,6,100
86.30506,43688.875,2,6,3100
42.12841,73407.88,1,1,3003
59.38887,21029.05,1,6,3001
58.490868,54295.395,2,1,3004
67.0092,95132.69,1,6,2906
83.91,14580.588,2,6,1200
23.67523,92482.97,2,1,3002
66.53141,16813.016,1,6,100
53.810036,11365.044,2,2,1600
65.823166,143336.36,1,1,2400
69.149864,50533.324,1,6,2200
22.160345,5063.6523,2,1,1200
31.029358,46675.21,1,1,2500
20.570276,10172.853,1,1,300
47.502613,36863.99,2,1,2200
62.897617,49497.71,2,1,3006
26.84662,15770.282,2,1,1702
71.194626,22620.934,2,6,1300
53.697517,21933.21,1,6,3201
68.13038,15536.6,2,6,3002
66.625305,6309.935,2,6,2500
37.044605,49892.074,2,1,1300
18.795694,21795.607,2,6,3002
62.785957,119091.805,2,1,3201
31.770872,29055.752,1,1,1500
52.24971,88728.76,1,1,3004
69.91707,195608.58,1,1,2101
62.161003,37609.695,1,6,500
54.820408,39061.043,1,1,3202
81.037186,22572.25,1,6,1801
76.58293,49638.395,1,6,600
54.346622,85183.46,2,1,100
64.15242,72883.58,1,6,1600
20.93336,26664.348,1,1,1703
59.034252,291.98682,2,6,3100
61.8242,4090.0928,2,6,2901
44.58602,246244.77,1,1,2701
25.197092,36490.832,1,1,1701
31.28807,41763.42,2,1,3202
74.60525,16190.299,2,6,1200
80.32214,32519.736,2,6,1704
70.11802,16664.008,2,6,3206
68.36741,26153.207,1,6,2600
35.0807,90811.27,1,1,3300
40.15974,159710.89,2,1,2907
77.49013,13248.871,2,6,3205
62.00436,55098.08,1,1,1600
65.485115,31332.1,1,1,200
53.932022,27108.066,2,1,2200
83.96935,15806.181,1,6,2703
31.711948,19456.076,1,1,2702
49.138557,0.03592379,2,6,3208
24.05491,65867.34,2,1,1500
68.17026,12607.305,2,6,3212
71.19023,5293.015,2,6,400
15.415966,0.011510791,1,6,1100
41.629375,79579.31,1,1,100
19.822754,15685.172,1,1,1900
49.89413,79593.13,1,1,2300
54.880013,34565.152,1,3,801
62.42009,45766.477,1,1,1100
41.9645,67985.39,1,1,3204
18.21957,369.6589,2,6,2702
28.173748,34660.582,1,1,1300
60.915855,89550.555,2,1,2101
42.750393,71019.98,2,1,2200
37.706696,28346.08,1,1,1704
48.292778,25601.322,2,1,1900
42.57802,27835.441,2,1,2400
67.50235,0.018790076,1,6,700
69.52009,20342.428,2,6,2600
30.989613,28832.682,2,1,700
54.62249,52102.316,2,1,1001
65.4006,136452.88,1,1,1004
33.98681,46206.973,1,1,1001
55.096172,54352.64,1,1,3002
31.825453,14297.735,2,1,1701
50.45136,58531.41,2,2,2905
23.67654,33042.387,1,1,3205
59.34308,60079.113,2,1,200
29.733444,35659.984,1,1,1704
65.36284,69961.586,2,6,3100
33.894447,0.01329504,2,6,2702
62.621025,24972.922,2,1,1400
22.567041,13343.51,1,6,1100
88.84671,2247.9973,1,6,3201
43.976795,134804.77,2,1,3213
48.635952,14269.373,2,1,400
72.971405,29818.348,2,6,2800
59.905632,56298.79,1,1,1400
24.339634,12877.199,2,1,1702
63.914963,54030.973,2,1,2600
40.87839,21161.918,2,1,3212
25.537384,39571.77,2,6,3001
20.067745,9443.968,1,1,1801
60.0445,39277.03,1,1,3202
59.236504,30898.912,1,1,2500
51.263866,34981.547,2,1,802
45.108673,5159.5063,2,6,2500
40.96701,12762.463,1,1,3210
67.1509,26158.295,2,1,100
70.68785,112787.67,1,6,3100
41.804436,0.0,2,6,2300
49.316673,7552.611,2,6,2800
66.30056,28003.592,1,6,1600
51.164276,58920.938,1,1,600
60.714756,0.07990267,2,6,1600
56.33849,36388.0,2,1,2904
37.51837,47706.203,2,1,2907
77.54109,49102.863,2,6,3213
38.240894,2604.8738,2,6,2701
58.575947,13675.479,1,6,3209
69.044304,20191.41,2,6,2901
26.344906,0.09918733,1,3,700
67.338486,70366.22,1,6,3006
55.36782,18115.127,2,1,500
63.614334,39961.37,2,6,600
39.45709,0.00682863,1,6,3206
28.03181,19086.967,1,1,1300
70.88347,30817.744,1,1,1300
36.499,36354.977,2,6,2908
29.530264,5244.068,1,1,1801
46.909985,80738.914,1,1,2200
52.361748,0.0,2,6,1500
71.16382,55988.93,1,1,3202
83.298416,0.5763521,1,6,3212
61.79649,23735.178,2,6,1300
20.03041,8956.056,2,1,2901
28.240805,1792.6761,1,1,2300
31.861322,113.699455,2,6,3205
57.660545,63729.586,1,1,2701
44.764317,18835.156,2,1,3100
28.878645,49206.84,1,1,2904
56.32241,6214.3687,2,6,802
73.60962,180202.83,1,6,2400
31.8744,40483.754,1,1,802
31.18389,0.055685833,1,6,2400
18.331951,0.0,2,6,1600
66.4798,27213.467,1,6,3204
69.64178,1464.8334,2,6,1801
50.830044,21286.973,1,6,2904
34.616764,31311.729,1,1,300
40.054142,25162.459,1,1,1600
43.29389,11254.18,2,1,1001
32.483574,77348.56,1,1,802
41.342052,10313.622,2,1,3208
24.78166,0.04094673,2,6,1300
46.772106,19317.645,1,6,3212
72.76851,31326.064,2,6,1704
81.02907,83377.78,2,6,1704
70.05244,8110.2563,2,6,3203
16.183067,0.0,2,6,3202
34.017406,27591.857,1,1,3211
74.57269,68875.61,1,6,1300
21.780062,21969.408,2,1,3201
25.237358,53637.496,1,1,2701
87.6002,10568.865,1,6,200
57.895557,79653.42,1,1,3100
31.453697,23874.916,2,1,3211
26.852955,25787.584,2,1,200
23.410257,26554.234,2,1,1400
80.70303,49463.453,2,6,900
55.135803,9708.615,1,1,500
88.30344,54352.125,1,6,1900
33.663567,37046.094,1,1,3207
58.494278,35224.426,1,1,1100
50.839565,33256.418,1,1,500
28.62794,54905.934,1,1,3203
38.75156,7761.449,1,1,1600
24.493164,16144.673,2,1,1900
22.402447,0.0032783726,2,6,2907
47.76787,109765.18,1,1,2101
68.64227,27327.174,1,1,3201
20.030552,37012.086,2,1,2906
47.64227,162652.0,1,1,1600
89.606964,34071.016,1,6,2908
50.11049,54174.465,2,1,100
79.77716,0.001856618,1,6,1200
58.57705,0.03122795,2,6,1400
29.567608,17130.879,1,3,2000
29.691349,0.075530455,2,6,100
57.369404,15362.993,1,1,600
49.994656,10595.955,2,6,1703
20.56284,12111.494,2,1,1801
54.721302,16147.953,2,1,2102
92.88312,24964.422,1,6,600
61.136833,15002.235,2,1,2000
19.708858,39.328358,1,6,2500
33.354935,18063.473,2,1,1900
59.11384,38091.27,1,1,801
50.985264,60182.566,2,1,2101
17.579659,3831.5679,2,1,1100
40.442818,68514.56,1,1,3001
66.107376,51699.85,2,6,3006
90.366684,28921.941,1,6,2102
66.35492,3768.9446,1,6,1600
62.7817,32829.293,2,6,2400
62.68152,6694.454,1,2,2500
68.41133,40497.81,1,6,900
92.361984,19469.162,2,6,3213
35.64382,74733.555,1,1,2908
32.087685,59980.3,1,1,1600
65.36066,44099.367,1,1,3004
21.124237,0.11137551,1,6,3202
63.52786,34174.89,1,1,1100
88.78084,44694.977,1,6,2200
26.152952,34656.848,1,1,200
45.260178,122876.664,1,1,2905
60.807106,42171.1,2,1,3001
59.676785,25360.254,1,6,1500
45.539032,33098.086,1,1,2701
32.3958,99047.27,1,1,900
81.41644,1465.476,1,6,100
66.957664,57280.74,1,1,2102
32.392387,30294.867,1,6,2000
58.21734,42995.902,2,1,2300
92.30293,62008.906,2,6,3300
61.283035,56138.906,1,6,2500
29.127369,36791.316,1,1,400
25.620195,39498.434,2,1,2905
58.12581,22869.832,1,1,2500
54.58178,53703.676,1,6,1704
69.60916,27733.186,2,6,3208
73.021194,5571.51,2,6,300
49.877056,7216.3696,2,1,1701
