brand,bucketed_dwell_times,city,close_date,date_range_end,date_range_start,device_type,distance_from_home,footprint_id,id_store,is_distributor,iso_country_code,latitude,location_name,longitude,median_dwell,msa_code,naics_code,open_date,persistent_id,persistent_id_store,poi_cbg,postal_code,region,related_same_day_brand,related_same_week_brand,street_address,sub_category,ticker,top_category,visit_counts,visitor_country_of_origin,visitor_counts,visitor_daytime_cbgs,visitor_home_aggregation,visitor_home_cbgs,visits_by_day,visits_by_each_hour
Other Clothing Stores,"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Hollywood,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,8740532897734676455,7940070,False,US,26.0138607,Other Clothing Stores,-80.2219162,None,33100,448190,1970-01-01,A1_NAICS-448190,7940070,120110912021,33024,FL,None,"{""Dunlop Tires"":26,""Mall"":26,""Moneygram"":26,""T-Mobile"":26,""Walmart"":26}",6630 Eaton St,Other Clothing Stores ,NAICS-448190,Clothing Stores ,26,None,26,None,None,None,"[0,0,0,26,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Fitness and Recreational Sports Centers,"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Phoenix,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,9203163973004067428,9778002,False,US,33.5048515,Fitness and Recreational Sports Centers,-112.0283025,None,38060,713940,1970-01-01,A1_NAICS-713940,9778002,040131084004,85016,AZ,"{""Cardtronics"":26,""EVTS"":26,""Gas Stations"":26}","{""Anthropologie"":26,""Cardtronics"":26,""Cheesecake Factory"":26,""Coffee Shops"":26,""Crate and Barrel"":26,""EVTS"":26,""Gas Stations"":26,""Golf Courses"":26,""Macerich"":26,""Mall"":26,""One Medical"":26,""Restaurants"":26,""Snooze"":26,""Tenet Healthcare"":26,""Victoria's Secret"":26}",2439 E Coolidge St,Fitness and Recreational Sports Centers ,NAICS-713940,Other Amusement and Recreation Industries,26,None,26,None,None,None,"[0,0,0,0,26,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Nursery, Garden Center, and Farm Supply Stores","{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Baltimore,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,8292205308165533960,8157960,False,US,39.3599815,"Nursery, Garden Center, and Farm Supply Stores",-76.6459274,None,12580,444220,1970-01-01,A1_NAICS-444220,8157960,245102715031,21210,MD,None,"{""Autozone"":26,""Eddie's of Roland Park"":26,""Golf Courses"":26,""Pennzoil"":26}",5424 Falls Road Ter,"Nursery, Garden Center, and Farm Supply Stores ",NAICS-444220,Lawn and Garden Equipment and Supplies Stores ,26,None,26,None,None,None,"[0,0,0,26,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Full-Service Restaurants,"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Tucson,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,8046223768976522291,9027194,False,US,32.1987915,Full-Service Restaurants,-110.8749237,None,46060,722511,1970-01-01,A1_NAICS-722511,9027194,040190035032,85711,AZ,"{""Daimler"":26,""EVTS"":26,""Gas Stations"":26,""Golf Courses"":26,""Grocery Stores"":26,""Hampton"":26,""QuikTrip"":26,""Walgreens"":26,""Western Union"":26}","{""Airport"":26,""American Airlines"":26,""Bookmans Entertainment Exchange"":26,""Boost Mobile"":26,""Chase"":26,""Daimler"":26,""Dunlop Tires"":26,""EVTS"":26,""Freshpet"":26,""Gas Stations"":26,""General Growth Properties"":26,""Golf Courses"":26,""Greystar"":26,""Grocery Stores"":26,""Hampton"":26,""Hilton Garden Inn"":26,""IndieBound"":26,""Keds"":26,""Live Nation Promoted Venues"":26}",2001 S Craycroft Rd,Full-Service Restaurants ,NAICS-722511,Restaurants and Other Eating Places,26,None,26,None,None,None,"[0,0,0,0,0,26,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
MADabolic,"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",San Antonio,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,8836015555580182462,7369689,False,US,29.602755,MADabolic,-98.603145,None,41700,713940,1970-01-01,A1_MADAB-A,7369689,480291819012,78256,TX,"{""US Museums"":26,""Universities and Colleges"":26}","{""Cardtronics"":26,""EVTS"":26,""General Growth Properties"":26,""H-E-B"":26,""Hollister"":26,""Live Nation Promoted Venues"":26,""Macy's"":26,""Mall"":26,""Sealy"":26,""Time Warner"":26,""Torrid"":26,""US Museums"":26,""Universities and Colleges"":26,""Western Union"":26,""i9 Sports"":26}","17022 Fiesta Texas Drive Bldg. 400, Suite 101",Fitness and Recreational Sports Centers ,MADAB-A,Other Amusement and Recreation Industries,26,None,26,None,None,None,"[26,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Full-Service Restaurants,"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Pleasant Hill,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,8800669646474258461,8969683,False,US,37.9586601,Full-Service Restaurants,-122.0581512,None,41860,722511,1970-01-01,A1_NAICS-722511,8969683,060133240023,94523,CA,"{""Pennzoil"":26,""Shell Oil"":26}","{""AT&T"":26,""Cardtronics"":26,""Fitness 19"":26,""HomeGoods"":26,""Learning Express Toys"":26,""Mall"":26,""Moneygram"":26,""Pennzoil"":26,""Shell Oil"":26,""Spirit Halloween"":26,""Wineries"":26}",150 Longbrook Way,Full-Service Restaurants ,NAICS-722511,Restaurants and Other Eating Places,26,None,26,None,None,None,"[0,0,0,0,0,0,26]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0]"
Full-Service Restaurants,"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Shoreline,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""android"":26}",None,3956265792942482400,9119743,False,US,47.7707596,Full-Service Restaurants,-122.3811493,None,42660,722511,1970-01-01,A1_NAICS-722511,9119743,530330201001,98177,WA,"{""The Everett Clinic"":26,""Trader Joe's"":26}","{""Diamond Parking Service"":26,""First Washington Realty (FWR)"":26,""Fred Meyer"":26,""Freshpet"":26,""Greystar"":26,""Hotel"":26,""LAZ Parking"":26,""New England Development"":26,""Regency Centers"":26,""Shell Oil"":26,""Subway"":26,""The Everett Clinic"":26,""Trader Joe's"":26,""Veterinary Centers"":26,""Western Union"":26}",1854 Nw 195Th St,Full-Service Restaurants ,NAICS-722511,Restaurants and Other Eating Places,26,None,26,None,None,None,"[0,0,0,0,0,0,26]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0]"
All Other Miscellaneous Store Retailers (except Tobacco Stores),"{""<5"":0, ""5-20"":26, ""21-60"":0,""61-240"":0,"">240"":0}",GLADWIN,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""android"":26}",None,8521165655813757677,12296920,False,US,43.993949,GLADWIN NEST,-84.496443,11.0,None,453998,1970-01-01,A1_NAICS-453998,12296920,260510007001,48624,MI,"{""Fire Protection"":26}","{""Convenience Stores"":26,""Fire Protection"":26,""Gyms"":26,""Michigan DMV"":26,""NAPA AutoCare Center"":26,""Subway"":26}",1400 NORTH SPRING STREET,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,NAICS-453998,Other Miscellaneous Store Retailers ,26,None,26,None,None,None,"[0,0,0,0,0,26,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
General Automotive Repair,"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Minoa,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,701245147085870542,11270716,False,US,43.069363,General Automotive Repair,-76.0017878,None,45060,811111,1970-01-01,A1_NAICS-811111,11270716,360670154001,13116,NY,"{""Convenience Stores"":26}","{""Convenience Stores"":26,""EV Charging Stations"":26,""Fire Protection"":26,""NAPA AutoCare Center"":26,""Progressive"":26,""Pronto (National Pronto Association)"":26,""Travelers"":26,""USPS"":26,""Western Union"":26}",330 S Main St,General Automotive Repair ,NAICS-811111,Automotive Repair and Maintenance,26,None,26,None,None,None,"[26,0,0,0,0,0,0]","[0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Other Automotive Mechanical and Electrical Repair and Maintenance,"{""<5"":26, ""5-20"":0, ""21-60"":0,""61-240"":0,"">240"":0}",Victor,2038-01-01,2017-02-12 00:00:00,2017-02-06 00:00:00,"{""ios"":26}",None,3618388193124521413,9370996,False,US,42.9613915,Other Automotive Mechanical and Electrical Repair and Maintenance,-77.4433518,None,40380,811118,1970-01-01,A1_NAICS-811118,9370996,360690501061,14564,NY,"{""Community Bank"":26,""Mall"":26}","{""Community Bank"":26,""Convenience Stores"":26,""Mall"":26,""Restaurants"":26,""Truck Stops"":26}",7384 County Road 41,Other Automotive Mechanical and Electrical Repair and Maintenance ,NAICS-811118,Automotive Repair and Maintenance,26,None,26,None,None,None,"[0,0,0,0,26,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
KFC,"{""<5"":482, ""5-20"":77, ""21-60"":0,""61-240"":0,"">240"":0}",New Bedford,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":305,""ios"":178}",4979.0,9176832166126886131,1559134,False,US,41.6373027,Kentucky Fried Chicken,-70.930426,12.0,39300,722513,1970-01-01,A1_YUM-KFC,1559134,250056518001,02740,MA,"{""Mall"":152,""Western Union"":127,""Hospitals"":102,""Convenience Stores"":76,""Dunkin Donuts"":76,""Pennsylvania REIT"":76,""Restaurants"":76,""Cumberland Farms"":51,""Freshpet"":51,""Gas Stations"":51,""Grocery Stores"":51,""Gulf Oil"":51,""Moneygram"":51,""Police Protection"":51,""Speedway"":51,""Stop & Shop"":51,""TD Bank"":51,""Walgreens"":51,""Audiologists"":25}","{""Convenience Stores"":330,""Mall"":330,""Moneygram"":305,""Western Union"":305,""Restaurants"":280,""Freshpet"":229,""Dunlop Tires"":203,""Pennsylvania REIT"":203,""Cumberland Farms"":178,""Gas Stations"":178,""Gyms"":178,""Stop & Shop"":178,""Walmart"":178,""CVS"":152,""Dunkin Donuts"":152,""Garmin"":152,""Hospitals"":152,""Hotel"":127,""Mobil"":127}",506 County Street,Limited-Service Restaurants ,YUM-KFC,Restaurants and Other Eating Places,558,"{""US"":483}",483,"{""250056531014"":242,""250056514001"":241}","{""25005653101"":161,""25005652300"":161,""25005651400"":161}","{""250056514001"":161,""250056531014"":161,""250056523003"":161}","[76,126,102,76,76,26,77]","[0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,25,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,25,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,26,0,0,0]"
Automatic Transmission Rebuilders Association (ATRA),"{""<5"":329, ""5-20"":76, ""21-60"":101,""61-240"":127,"">240"":152}",Centennial,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":381,""ios"":102}",22696.0,6835750580560785821,11606174,False,US,39.5883675,Automatic Transmission Rebuilders Association (ATRA),-104.818644,115.0,19740,811113,1970-01-01,A1_AUTOM-A,11606174,080050068633,80112,CO,"{""Dunlop Tires"":178,""Storage & Warehouses"":178,""Office Building"":127,""Travelers"":127,""Freshpet"":102,""Golf Courses"":102,""Moneygram"":102,""Truck Stops"":102,""Convenience Stores"":76,""Live Nation Promoted Venues"":76,""Mall"":76,""NAPA AutoCare Center"":76,""Pennzoil"":76,""Restaurants"":76,""The Hartford"":76,""Universities and Colleges"":76,""Walmart"":76,""Wendy's"":76,""Western Union"":76}","{""Mall"":356,""Western Union"":356,""Convenience Stores"":280,""Freshpet"":280,""Moneygram"":280,""Restaurants"":280,""Dunlop Tires"":254,""Walmart"":254,""Cardtronics"":229,""Golf Courses"":229,""Office Building"":229,""Storage & Warehouses"":229,""Gas Stations"":203,""Live Nation Promoted Venues"":203,""Greystar"":178,""Hotel"":178,""Pennzoil"":178,""Travelers"":178,""Armstrong Flooring"":152}",14677 E. Easter Ave.,Automotive Transmission Repair ,AUTOM-A,Automotive Repair and Maintenance,784,"{""US"":483}",483,"{""080050068633"":483}",None,None,"[202,177,102,152,126,26,0]","[25,51,25,25,25,25,25,0,51,51,25,25,25,76,51,0,25,25,0,0,25,25,25,25,25,0,25,25,25,25,50,76,50,25,25,50,25,25,25,0,0,50,25,25,50,50,50,50,25,25,25,25,25,25,51,0,25,0,0,0,25,0,0,25,25,25,25,0,0,0,25,0,0,0,0,0,0,25,76,102,25,25,25,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Eye Med,"{""<5"":279, ""5-20"":51, ""21-60"":127,""61-240"":25,"">240"":76}",Salisbury,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":407,""ios"":76}",10209.0,1417067205399327814,11661483,False,US,38.3736415,Eye Med,-75.521808,33.0,41540,446130,1970-01-01,A1_EYEME-A,11661483,240450106034,21804,MD,"{""Surgery Centers"":483,""Mall"":229,""ExxonMobil"":127,""Moneygram"":127,""Western Union"":127,""Cardtronics"":102,""Dunlop Tires"":102,""Hospitals"":102,""RCG Ventures LLC"":102,""Walmart"":102,""Freshpet"":76,""Armstrong Flooring"":51,""Bimbo Bakeries"":51,""Business Centers"":51,""DDR"":51,""Denny's"":51,""Food Lion"":51,""Gas Stations"":51,""Global Net Lease"":51}","{""Surgery Centers"":483,""Mall"":305,""Moneygram"":305,""Dunlop Tires"":280,""Western Union"":280,""Walmart"":254,""Cardtronics"":229,""Freshpet"":203,""Sodastream"":203,""Hospitals"":178,""Armstrong Flooring"":152,""ExxonMobil"":152,""RCG Ventures LLC"":152,""Blue Buffalo"":127,""Food Lion"":127,""Gas Stations"":127,""ICBA"":127,""Rite Aid"":127,""DDR"":102}",31519 Winterplace Pkwy,Optical Goods Stores ,EYEME-A,Health and Personal Care Stores ,558,"{""US"":483}",483,"{""240450106034"":289,""240450106031"":194}","{""24045010603"":289,""24045010504"":194}","{""240450106031"":289,""240450105041"":194}","[76,151,153,102,25,51,0]","[0,0,0,0,0,0,25,25,25,25,25,25,0,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,76,25,0,0,0,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,76,51,51,51,25,51,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Plumbing, Heating, and Air-Conditioning Contractors","{""<5"":432, ""5-20"":51, ""21-60"":25,""61-240"":51,"">240"":0}",Belle Glade,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":330,""ios"":178}",28138.0,2334721096277072614,11242684,False,US,26.6834165,"Plumbing, Heating, and Air-Conditioning Contractors",-80.664075,11.0,33100,238220,1970-01-01,A1_NAICS-238220,11242684,120990082033,33430,FL,"{""Mall"":152,""McDonald's"":152,""Western Union"":127,""Cardtronics"":102,""Golf Courses"":102,""Buick"":76,""Convenience Stores"":76,""Hotel"":76,""Moneygram"":76,""Truck Stops"":76,""Cadillac"":51,""Coffee Shops"":51,""Dunkin Donuts"":51,""Restaurants"":51,""Sunshine Gasoline Distributors"":51,""Taco Bell"":51,""Walgreens"":51,""7 Eleven"":25,""Advan"":25}","{""Mall"":381,""Western Union"":356,""Cardtronics"":330,""Convenience Stores"":305,""Hotel"":229,""Restaurants"":229,""Golf Courses"":203,""McDonald's"":203,""Moneygram"":203,""Dunlop Tires"":178,""Gas Stations"":178,""Marathon Petroleum"":178,""Pennzoil"":178,""Truck Stops"":178,""Walgreens"":178,""Taco Bell"":152,""Winn Dixie"":152,""7 Eleven"":127,""Gyms"":127}",349 Se 3Rd St,"Plumbing, Heating, and Air-Conditioning Contractors ",NAICS-238220,Building Equipment Contractors,559,"{""US"":508}",508,"{""120990081013"":304,""120990082033"":204}","{""12099008101"":291,""12099008203"":217}","{""120990081013"":291,""120990082031"":217}","[25,50,76,203,101,51,52]","[0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,51,51,76,25,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,50,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,26,0,0,0,0,0]"
Supermarkets and Other Grocery Retailers (except Convenience Retailers),"{""<5"":305, ""5-20"":102, ""21-60"":102,""61-240"":0,"">240"":0}",Farmington,2038-01-01,2017-03-26 00:00:00,2017-03-20 00:00:00,"{""android"":483,""ios"":25}",13972.0,5662763417509621494,8162333,False,US,44.6225815,Supermarkets and Other Grocery Retailers (except Convenience Retailers),-70.1637878,11.0,None,445110,1970-01-01,A1_NAICS-445110,8162333,230079712014,4938,ME,"{""Mall"":508,""Save-A-Lot"":508,""Dunlop Tires"":229,""Moneygram"":229,""Sodastream"":229,""Walmart"":229,""Pennzoil"":152,""Truck Stops"":152,""Dollar Tree"":102,""Convenience Stores"":76,""Gas Stations"":76,""Taco Bell"":76,""Garmin"":51,""Genesis HealthCare"":51,""Hannaford Supermarkets"":51,""Hospitals"":51,""Irving Oil"":51,""KFC"":51,""Rent-A-Center"":51}","{""Mall"":508,""Save-A-Lot"":508,""Dunlop Tires"":407,""Moneygram"":407,""Sodastream"":407,""Walmart"":407,""Pennzoil"":280,""Truck Stops"":280,""Western Union"":229,""Convenience Stores"":203,""Gas Stations"":203,""Universities and Colleges"":203,""Hospitals"":178,""Irving Oil"":178,""Rite Aid"":178,""Taco Bell"":178,""Dollar Tree"":152,""Hankook Tire"":152,""Hannaford Supermarkets"":152}",654 Wilton Rd,Supermarkets and Other Grocery (except Convenience) Stores ,NAICS-445110,Grocery Stores ,508,"{""US"":508}",508,"{""230110102002"":508}","{""23007971202"":508}","{""230079712022"":508}","[25,76,51,76,101,128,52]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,51,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,26,0,0,0,0,0,0,0,0]"
